variable,value_type,rank,value,count
ureum__last__last_12h,rounded_2dp,10,6.43,479
ureum__last__last_12h,rounded_2dp,11,7.14,456
ureum__last__last_12h,rounded_2dp,12,3.21,455
ureum__last__last_12h,rounded_2dp,13,7.5,413
ureum__last__last_12h,rounded_2dp,14,7.85,393
ureum__last__last_12h,rounded_2dp,15,2.86,379
ureum__last__last_12h,rounded_2dp,16,8.21,376
ureum__last__last_12h,rounded_2dp,17,8.57,366
ureum__last__last_12h,rounded_2dp,18,2.5,322
ureum__last__last_12h,rounded_2dp,19,8.93,316
ureum__last__last_12h,rounded_2dp,20,9.28,307
fluid_out_urine__mean__last_12h,exact,1,100.0,3078
fluid_out_urine__mean__last_12h,exact,2,150.0,2404
fluid_out_urine__mean__last_12h,exact,3,0.0,2306
fluid_out_urine__mean__last_12h,exact,4,200.0,2292
fluid_out_urine__mean__last_12h,exact,5,50.0,2214
fluid_out_urine__mean__last_12h,exact,6,75.0,2146
fluid_out_urine__mean__last_12h,exact,7,125.0,2112
fluid_out_urine__mean__last_12h,exact,8,60.0,2080
fluid_out_urine__mean__last_12h,exact,9,80.0,1944
fluid_out_urine__mean__last_12h,exact,10,90.0,1766
fluid_out_urine__mean__last_12h,exact,11,40.0,1748
fluid_out_urine__mean__last_12h,exact,12,120.0,1734
fluid_out_urine__mean__last_12h,exact,13,70.0,1695
fluid_out_urine__mean__last_12h,exact,14,30.0,1649
fluid_out_urine__mean__last_12h,exact,15,45.0,1638
fluid_out_urine__mean__last_12h,exact,16,10.0,1594
fluid_out_urine__mean__last_12h,exact,17,110.0,1572
fluid_out_urine__mean__last_12h,exact,18,85.0,1565
fluid_out_urine__mean__last_12h,exact,19,65.0,1561
fluid_out_urine__mean__last_12h,exact,20,175.0,1550
fluid_out_urine__mean__last_12h,rounded_2dp,1,100.0,3078
fluid_out_urine__mean__last_12h,rounded_2dp,2,150.0,2404
fluid_out_urine__mean__last_12h,rounded_2dp,3,0.0,2306
fluid_out_urine__mean__last_12h,rounded_2dp,4,200.0,2292
fluid_out_urine__mean__last_12h,rounded_2dp,5,50.0,2214
fluid_out_urine__mean__last_12h,rounded_2dp,6,75.0,2146
fluid_out_urine__mean__last_12h,rounded_2dp,7,125.0,2112
fluid_out_urine__mean__last_12h,rounded_2dp,8,60.0,2080
fluid_out_urine__mean__last_12h,rounded_2dp,9,80.0,1944
fluid_out_urine__mean__last_12h,rounded_2dp,10,90.0,1766
fluid_out_urine__mean__last_12h,rounded_2dp,11,40.0,1748
fluid_out_urine__mean__last_12h,rounded_2dp,12,120.0,1734
fluid_out_urine__mean__last_12h,rounded_2dp,13,70.0,1695
fluid_out_urine__mean__last_12h,rounded_2dp,14,30.0,1649
fluid_out_urine__mean__last_12h,rounded_2dp,15,45.0,1638
fluid_out_urine__mean__last_12h,rounded_2dp,16,10.0,1594
fluid_out_urine__mean__last_12h,rounded_2dp,17,110.0,1572
fluid_out_urine__mean__last_12h,rounded_2dp,18,85.0,1565
fluid_out_urine__mean__last_12h,rounded_2dp,19,65.0,1561
fluid_out_urine__mean__last_12h,rounded_2dp,20,175.0,1550
lactate__last__last_12h,exact,1,1.100000023841858,522
lactate__last__last_12h,exact,2,1.2000000476837158,511
lactate__last__last_12h,exact,3,1.0,505
lactate__last__last_12h,exact,4,1.399999976158142,495
lactate__last__last_12h,exact,5,1.5,488
lactate__last__last_12h,exact,6,1.2999999523162842,485
lactate__last__last_12h,exact,7,0.8999999761581421,425
lactate__last__last_12h,exact,8,1.600000023841858,422
lactate__last__last_12h,exact,9,0.800000011920929,372
lactate__last__last_12h,exact,10,1.7000000476837158,357
lactate__last__last_12h,exact,11,1.7999999523162842,335
lactate__last__last_12h,exact,12,2.0,309
lactate__last__last_12h,exact,13,1.899999976158142,302
lactate__last__last_12h,exact,14,2.0999999046325684,245
lactate__last__last_12h,exact,15,0.699999988079071,236
lactate__last__last_12h,exact,16,2.200000047683716,223
lactate__last__last_12h,exact,17,2.299999952316284,210
lactate__last__last_12h,exact,18,2.4000000953674316,202
lactate__last__last_12h,exact,19,2.5,177
lactate__last__last_12h,exact,20,2.5999999046325684,158
lactate__last__last_12h,rounded_2dp,1,1.1,522
lactate__last__last_12h,rounded_2dp,2,1.2,511
lactate__last__last_12h,rounded_2dp,3,1.0,505
lactate__last__last_12h,rounded_2dp,4,1.4,495
lactate__last__last_12h,rounded_2dp,5,1.5,488
lactate__last__last_12h,rounded_2dp,6,1.3,485
lactate__last__last_12h,rounded_2dp,7,0.9,425
lactate__last__last_12h,rounded_2dp,8,1.6,422
lactate__last__last_12h,rounded_2dp,9,0.8,372
lactate__last__last_12h,rounded_2dp,10,1.7,357
lactate__last__last_12h,rounded_2dp,11,1.8,335
lactate__last__last_12h,rounded_2dp,12,2.0,309
lactate__last__last_12h,rounded_2dp,13,1.9,302
lactate__last__last_12h,rounded_2dp,14,2.1,245
lactate__last__last_12h,rounded_2dp,15,0.7,236
lactate__last__last_12h,rounded_2dp,16,2.2,223
lactate__last__last_12h,rounded_2dp,17,2.3,210
lactate__last__last_12h,rounded_2dp,18,2.4,202
lactate__last__last_12h,rounded_2dp,19,2.5,177
lactate__last__last_12h,rounded_2dp,20,2.6,158
